Name,Edition (code),Price
"Abattoir Ghoul","(isd)","$0.37"
"Abbey Gargoyles","(hml)","$0.39"
"Abbey Griffin","(isd)","$0.30"
"Abbey Matron","(hml)","$0.34"
"Abbot of Keral Keep","(ori)","$1.48"
"Aberrant Mind Sorcerer","(afr)","$0.34"
"Aberrant Researcher // Perfected Form","(soi)","$0.37"
"Abhorrent Overlord","(ths)","$1.05"
"Abominable Treefolk","(mh1)","$0.43"
"Abomination","(4ed)","$0.37"
"Abomination of Gudul","(ktk)","$0.30"
"Abomination of Llanowar","(cmr)","$0.37"
"Aboroth","(wth)","$4.92"
"Absolver Thrull","(gpt)","$0.36"
"Abu Ja'far","(rin)","$3.68"
"Abuna Acolyte","(som)","$0.37"
"Abundant Maw","(emn)","$0.37"
"Abyssal Gatekeeper","(ddc)","$0.92"
"Abyssal Horror","(7ed)","$0.67"
"Abyssal Hunter","(mir)","$0.73"
"Abyssal Nightstalker","(p02)","$0.59"
"Abyssal Persecutor","(ima)","$1.32"
"Abyssal Specter","(mm3)","$0.37"
"Abzan Battle Priest","(ktk)","$0.58"
"Abzan Beastmaster","(frf)","$0.37"
"Abzan Falconer","(c16)","$0.50"
"Abzan Guide","(ktk)","$0.30"
"Abzan Kin-Guard","(frf)","$0.37"
"Abzan Skycaptain","(frf)","$0.30"
"Academy Drake","(dom)","$0.30"
"Academy Elite","(cns)","$0.56"
"Academy Journeymage","(dom)","$0.31"
"Academy Manufactor","(mh2)","$5.01"
"Academy Raider","(m14)","$0.30"
"Academy Rector","(uds)","$168.98"
"Academy Researchers","(usg)","$0.44"
"Acclaimed Contender","(eld)","$0.59"
"Accomplished Automaton","(kld)","$0.28"
"Accorder Paladin","(mbs)","$0.37"
"Accursed Centaur","(ons)","$0.33"
"Accursed Horde","(gn2)","$0.37"
"Accursed Spirit","(m14)","$0.30"
"Accursed Witch // Infectious Curse","(soi)","$0.73"
"Acid Web Spider","(som)","$0.37"
"Acid-Spewer Dragon","(dtk)","$0.44"
"Acidic Slime","(m13)","$0.41"
"Acidic Sliver","(sth)","$0.76"
"Acolyte of Affliction","(thb)","$0.37"
"Acolyte of Xathrid","(m10)","$0.34"
"Acolyte of the Inferno","(ori)","$0.37"
"Acquisitions Expert","(znr)","$0.36"
"Acridian","(usg)","$0.36"
"Adamaro, First to Desire","(sok)","$1.14"
"Adanto Vanguard","(xln)","$0.44"
"Adaptive Automaton","(e02)","$5.88"
"Adaptive Shimmerer","(iko)","$0.27"
"Adaptive Snapjaw","(gtc)","$0.28"
"Adarkar Sentinel","(ice)","$0.43"
"Adarkar Unicorn","(ice)","$0.36"
"Adarkar Valkyrie","(mma)","$1.33"
"Adarkar Windform","(csp)","$0.37"
"Adder-Staff Boggart","(lrw)","$0.36"
"Adeliz, the Cinder Wind","(dom)","$0.47"
"Adherent of Hope","(m21)","$0.37"
"Admiral Beckett Brass","(xln)","$5.29"
"Admonition Angel","(znc)","$1.24"
"Adorned Pouncer","(hou)","$1.54"
"Adriana, Captain of the Guard","(cn2)","$1.01"
"Adun Oakenshield","(leg)","$435.71"
"Advance Scout","(tmp)","$0.33"
"Advanced Hoverguard","(5dn)","$0.31"
"Advanced Stitchwing","(gnt)","$0.43"
"Advocate of the Beast","(m14)","$0.31"
"Aegar, the Freezing Flame","(khm)","$0.37"
"Aegis Angel","(w16)","$0.70"
"Aegis Automaton","(aer)","$0.28"
"Aegis Turtle","(iko)","$0.30"
"Aeon Chronicler","(c16)","$0.58"
"Aerial Caravan","(mmq)","$0.70"
"Aerial Engineer","(m19)","$0.37"
"Aerial Guide","(hou)","$0.27"
"Aerial Responder","(kld)","$0.37"
"Aerie Bowmasters","(dtk)","$0.33"
"Aerie Mystics","(con)","$0.37"
"Aerie Ouphes","(eve)","$0.37"
"Aerie Worshippers","(bng)","$0.37"
"Aeromoeba","(mh2)","$0.22"
"Aeromunculus","(rna)","$0.28"
"Aeronaut Admiral","(aer)","$0.37"
"Aeronaut Tinkerer","(m15)","$0.30"
"Aesthir Glider","(dom)","$0.28"
"Aether Adept","(m11)","$0.37"
"Aether Chaser","(aer)","$0.30"
"Aether Figment","(zen)","$0.37"
"Aether Herder","(aer)","$0.28"
"Aether Inspector","(aer)","$0.25"
"Aether Membrane","(ddi)","$1.05"
"Aether Poisoner","(aer)","$0.30"
